date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:42	78/78	---M--	200	added ('OK')	text/plain	etag:%2263843a49-4e%22	https://www.fegno.com/robots.txt		(from )
16:40:43	379752/379752	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:10:42%20GMT	https://www.fegno.com/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/index.html	(from )
16:40:43	12848/12848	---M--	200	added ('OK')	application/octet-stream	etag:%2264351228-3230%22	https://www.fegno.com/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCuM73w5aXo.woff2	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/astra-local-fonts/montserrat/JTUHjIg1_i6t8kCHKm4532VJOt5-QNFgpCuM73w5aXo.woff2	(from https://www.fegno.com/)
16:40:43	7748/7748	---M--	200	added ('OK')	application/octet-stream	etag:%2264351229-1e44%22	https://www.fegno.com/wp-content/astra-local-fonts/poppins/pxiByp8kv8JHgFVrLGT9Z1xlFQ.woff2	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/astra-local-fonts/poppins/pxiByp8kv8JHgFVrLGT9Z1xlFQ.woff2	(from https://www.fegno.com/)
16:40:43	4164/4164	---MCZ	200	added ('OK')	text/css	etag:W/%2264351229-1044%22	https://www.fegno.com/wp-content/astra-local-fonts/astra-local-fonts.css?ver=3.7.7	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/astra-local-fonts/astra-local-fontsac9e.css	(from https://www.fegno.com/)
16:40:44	882/882	---MCZ	200	added ('OK')	text/css	etag:W/%22633ac637-372%22	https://www.fegno.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=3.7.7	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.minac9e.css	(from https://www.fegno.com/)
16:40:44	580/580	---MCZ	200	added ('OK')	text/css	etag:W/%2263edd334-244%22	https://www.fegno.com/wp-content/cache/asset-cleanup/css/item/hfe-style-vd3075c15c443ea92321c86034087c5b0734256f0.css	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/cache/asset-cleanup/css/item/hfe-style-vd3075c15c443ea92321c86034087c5b0734256f0.css	(from https://www.fegno.com/)
16:40:44	103736/103736	---MCZ	200	added ('OK')	text/css	etag:W/%226371dccb-19538%22	https://www.fegno.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.8.1	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/elementor/assets/css/frontend-lite.min7e2e.css	(from https://www.fegno.com/)
16:40:44	65401/65401	---MCZ	200	added ('OK')	text/css	etag:W/%2263edd335-ff79%22	https://www.fegno.com/wp-content/cache/asset-cleanup/css/item/hfe-widgets-style-v4dba0137fb277de752ffd1f99acf1f2d015dc792.css	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/cache/asset-cleanup/css/item/hfe-widgets-style-v4dba0137fb277de752ffd1f99acf1f2d015dc792.css	(from https://www.fegno.com/)
16:40:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20May%202023%2011:10:44%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css?ver=6.2	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.7ae48.delayed	(from https://www.fegno.com/)
16:40:45	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css	(from https://www.fegno.com/)
16:40:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20May%202023%2011:10:44%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css?ver=6.2	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.9ae48.delayed	(from https://www.fegno.com/)
16:40:45	3145/3145	---M-Z	200	added ('OK')	text/css	etag:W/%22c49-gaQ0+U8rESTzIyu4bylE+C+yOsA%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick-theme.css	(from https://www.fegno.com/)
16:40:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20May%202023%2011:10:45%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js?ver=1	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.b68b3.delayed	(from https://www.fegno.com/)
16:40:46	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/Users/super/Desktop/fegno/fegno/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.fegno.com/)
16:40:47	32674/32674	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-7fa2%22	http://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.8/typed.js?ver=6.2	C:/Users/super/Desktop/fegno/fegno/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.8/typedae48.js	(from https://www.fegno.com/)
16:40:47	9937/9937	---MCZ	200	added ('OK')	application/javascript	etag:W/%226371dcb9-26d1%22	https://www.fegno.com/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=5.6.4	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/contact-form-7/includes/swv/js/index77e1.js	(from https://www.fegno.com/)
